NOME;DATA_NASC;CPF;TELEFONE;CEP;DATA_CAD
CARLOS;12/10/1995;111.111.111-11;(79) 3170-9953;03085-030;22/05/2021
MANUELA;13/10/1995;111.111.111-12;(94) 2883-5122;02264-030;23/05/2021
JOSÉ;14/10/1995;111.111.111-13;(19) 3013-4665;12230-560;24/05/2021
SEBASTIÃO;15/10/9195;111.111.111-14;(17) 2724-4201;13104-316;25/05/2021
MIKEY;15/10/1995;111.111.111-15;(87) 3194-0430;14805-265;26/05/2021
ANALLY;17/10/1995;111.111.111-16;(95) 2565-5321;03073-060;27/05/2021
CAMILA;18/10/1995;111.111.111-17;(64) 3708-9331;02339-100;28/05/2021
SEVERINA;;111.111.111-18;(92) 2273-4359;60741-574;29/05/2021
JORGE;20/10/1995;111.111.111-19;(48) 2661-3773;60115-220;30/05/2021
PAMELA;21/10/1995;111.111.111-20;(65) 3744-2263;64034-395;31/05/2021
PAMELA;21/10/1995;111.111.111-20;(82) 2451-3198;64034-395;01/06/2021
JORGE;20/10/1995;111.111.111-19;(73) 3026-4452;60115-220;02/06/2021
